id,group,hs.grad,nation,gender,age,m.status,political,n.child,income,housing,food,other,score,scr,time1,time2,time3,Pol
1032,treat,yes,Asia,female,42,widowed,Conservative,0,117352.4643,0.58,0.16,0.26,0,1.532032662,0.82,-0.22,1.69,2.117051638
1033,treat,yes,Europe,male,32,married,Conservative,2,83035.50039,0.06,0.94,0,-2.11,1.281860161,0.15,0.12,1.24,2.718165822
1034,control,yes,North America,male,44,divorced,New_Democrat,4,3132.728074,0.09,0.81,0.1,0.19,0.700025054,0.38,-2.13,5.34,1.131639069
1035,control,yes,North America,male,47,married,Conservative,1,100251.5492,0.26,0.58,0.16,-1.13,1.169779445,0,-2.73,0.66,0.857725062
1036,control,no,Asia,female,40,married,Conservative,0,91094.32183,0.53,0.36,0.11,0.28,0.952293734,0.86,1.45,1.85,1.073988187
1037,treat,no,North America,male,38,divorced,Conservative,0,124061.3047,0.44,0.49,0.07,-0.33,0.389551102,0.97,0.71,1.39,3.942224098
1038,treat,no,Europe,male,34,widowed,Conservative,2,130189.3518,0.32,0.14,0.54,-1.5,1.204055781,0.49,-4.26,0.58,3.559342906
1039,treat,yes,Asia,female,18,never,Other,0,49000,0.24,0.17,0.59,-0.77,1.592515908,0.84,0.39,4.52,0.823133102
1040,treat,yes,Asia,female,54,divorced,Other,0,61766.63739,0.05,0.08,0.87,1.02,0.248408679,0.76,1.07,1.09,1.465778742
1041,control,no,Asia,male,43,divorced,Liberal,0,131509.1263,0.06,0.53,0.41,0.04,1.682919777,0.02,-0.81,5.58,1.432020613
1042,control,yes,North America,female,57,divorced,Liberal,4,117519.2658,0.62,0.31,0.07,0.05,1.369222125,0.52,0.16,2.69,-0.761830343
1043,control,yes,North America,male,65,never,Conservative,3,91000,0.02,0.51,0.47,-0.4,1.17297466,0.15,1.74,3.31,0.639519509
1044,control,no,Asia,male,50,divorced,New_Democrat,0,119499.4183,0.94,0.02,0.04,0.68,1.438443894,0.84,1.38,2.77,2.689213457
1045,treat,yes,Asia,female,28,divorced,Liberal,3,46180.59684,0.25,0.12,0.63,0.81,0.890811131,0.36,2.49,1.54,0.933918138
1046,treat,no,Southern,female,58,married,New_Democrat,1,51918.41377,0.26,0.39,0.35,1.12,-0.195275945,1,-0.19,2.39,3.513347642
1047,treat,no,Asia,female,29,divorced,New_Democrat,3,12241.93011,0.17,0.47,0.36,-0.6,1.503746326,0.78,4.36,3.06,3.080276888
1048,treat,no,North America,male,26,married,New_Democrat,2,121424.0606,0.46,0.12,0.42,-0.72,1.495579208,1,1.57,4.55,4.02595752
1049,control,no,North America,female,53,married,Other,1,29791.65072,0.46,0.08,0.46,-0.41,0.34453294,0.99,5.09,5.64,0.490256567
1050,treat,no,North America,female,32,married,Conservative,2,84082.18717,1,0,0,-0.85,0.20283594,1,1.79,3.61,2.938056863
1051,control,no,North America,male,26,married,Other,0,16271.09319,0.68,0.1,0.22,-0.87,0.08141688,0.59,1.11,2.44,1.324691824
1052,control,yes,North America,male,19,divorced,Conservative,3,125347.7657,0.2,0.56,0.24,-0.49,1.870431855,0.71,1.31,1.15,1.429468733
1053,treat,no,Asia,female,43,divorced,Liberal,0,137500.8443,0.13,0.66,0.21,-1.39,1.263346434,0.63,-0.92,1.55,1.562467999
1054,control,yes,North America,male,48,never,Conservative,4,47000,1,0,0,-0.99,0.498732475,0.41,-1.22,6.4,1.454407269
1055,control,no,Asia,male,24,married,Other,2,150264.1377,0.83,0.16,0.01,0.92,0.969299606,0.24,0.83,0.31,1.827001922
1056,treat,no,Europe,male,36,married,Other,1,61607.5297,0.45,0.23,0.32,0.29,0.786636802,0.7,0.86,2.47,3.446250483
1057,control,no,Asia,female,47,divorced,New_Democrat,0,81194.97726,0.15,0.05,0.8,0.99,1.424692364,0.09,-1.77,0.96,1.128588353
1058,treat,no,North America,female,61,divorced,Liberal,3,109041.998,0.77,0.08,0.15,0.58,0.814749083,0.94,-0.01,5.24,1.7774267
1059,treat,no,North America,male,27,married,Liberal,2,102237.1466,0.36,0.6,0.04,-0.14,1.52653973,0.88,-0.02,2.8,3.393402258
1060,control,yes,North America,female,26,divorced,Conservative,3,56324.73959,0.89,0.06,0.05,0.72,1.770321138,1,0.24,2.65,-0.120128993
1061,control,no,Southern,male,28,divorced,Liberal,3,38546.23114,0.56,0.38,0.06,-1,0.80945265,0.28,-1.38,4.78,1.129221222
1062,control,no,North America,male,63,never,Liberal,0,61000,0.27,0.51,0.22,-1.13,1.100621554,0.92,1.69,3.58,0.362352396
1063,control,yes,Europe,female,39,married,Other,1,13615.11234,0.28,0.13,0.59,0.87,-0.101115329,0.64,-2.5,1.12,-0.797853793
1064,control,no,Europe,male,25,divorced,New_Democrat,2,134417.1625,0.04,0.46,0.5,0.45,1.153045755,0.11,-0.07,1.18,2.364523723
1065,control,no,North America,female,54,divorced,Liberal,0,96533.05786,0.31,0.56,0.13,1.67,1.376695979,0.32,3.23,0.65,0.429366134
1066,treat,yes,North America,female,23,married,Conservative,0,132968.4021,0.7,0.05,0.25,0.35,1.143429039,0.78,2.2,1.02,1.719011703
1067,control,no,North America,female,53,divorced,Conservative,0,55768.84524,0.99,0,0.01,-1.09,0.747516125,0.22,-1.57,3.99,1.076371515
1068,control,yes,Southern,male,42,divorced,Liberal,3,39972.93437,0.72,0.28,0,-2.36,1.032472231,0.27,-3.56,4.33,-0.501859777
1069,control,yes,North America,female,26,divorced,Liberal,1,24648.12089,0.68,0.12,0.2,0.62,1.362280562,0.95,2.93,1.1,-1.545893265
1070,treat,yes,North America,female,53,married,New_Democrat,4,146352.1858,0.35,0.46,0.19,0.63,1.776598603,0.03,0.92,1.08,2.679931235
1071,treat,no,North America,male,39,never,New_Democrat,2,138000,0.21,0.53,0.26,0.5,1.176884019,0.42,0.34,0.55,4.208442253
1072,treat,yes,North America,male,20,married,Conservative,2,132761.5805,0.52,0.13,0.35,0.37,0.961113688,0.11,2.05,3.85,2.926696789
1073,control,yes,North America,female,53,divorced,Liberal,0,115899.5839,0.44,0.09,0.47,1.91,1.882616457,0.58,1.41,5.66,-0.948753948
1074,treat,no,Europe,male,30,divorced,Liberal,1,26203.07189,0.72,0.08,0.2,0.73,1.912206095,0.8,4.11,1.48,3.284617092
1075,treat,yes,Asia,female,37,divorced,Liberal,1,138814.4486,0.89,0.07,0.04,0.28,2.273835671,0.83,1.32,4.62,0.806192695
1076,treat,yes,North America,male,62,divorced,New_Democrat,1,119510.5338,0.82,0.05,0.13,0.24,1.521667237,0.12,1.54,2.41,2.787115497
1077,treat,no,North America,male,38,divorced,Other,4,74663.95179,0.26,0.19,0.55,1.25,0.775090011,0.41,3.33,5.21,4.118321088
1078,treat,no,North America,female,52,married,New_Democrat,1,136907.7211,0.77,0.03,0.2,-0.12,2.103563335,0.13,0.55,1.29,3.037786153
1079,treat,yes,Southern,male,62,married,Liberal,1,97485.70325,0.63,0.36,0.01,0.45,2.445072646,0.15,3.46,3.29,1.854932865
1080,treat,yes,Southern,female,46,married,Conservative,3,96098.21436,0.91,0.08,0.01,-1.73,0.397322259,0.53,1.2,3.45,1.536263562
1081,treat,no,North America,female,54,married,New_Democrat,3,111547.2504,0.45,0.55,0,-1.98,1.447207863,0.65,-0.33,1.58,3.28421148
1082,control,yes,North America,male,42,divorced,Liberal,1,78934.38605,0.3,0.24,0.46,0.83,1.432100641,0.9,-0.42,2.56,0.057510709
1083,treat,yes,North America,female,22,married,Conservative,0,79016.86313,0.69,0.13,0.18,0.04,1.579441145,0.11,2.71,0.56,2.070324057
1084,treat,no,North America,female,40,divorced,Conservative,2,69647.84203,0.59,0.26,0.15,0.07,0.705589795,0.39,0.43,0.54,3.133826539
1085,control,no,North America,male,24,never,New_Democrat,2,106000,0.4,0.59,0.01,-0.64,1.48945343,0.04,-0.57,0.31,2.737263901
1086,treat,yes,Asia,male,52,married,New_Democrat,2,9202.584569,0.53,0.2,0.27,0.85,1.775782937,0.25,0.74,1.58,3.55769932
1087,control,no,North America,female,62,married,New_Democrat,1,14482.58632,0.04,0.56,0.4,-1.02,1.032537125,0.2,-3.38,0.25,1.183234095
1088,treat,yes,Southern,female,45,married,Liberal,1,150736.2479,0.36,0.62,0.02,1.29,2.171357357,0.99,0.2,1.98,1.813117835
1089,control,yes,Asia,male,57,divorced,Other,0,81275.55418,0.66,0.29,0.05,0.53,1.021975119,0.65,2.82,5.65,0.797201625
1090,treat,no,Southern,female,51,divorced,New_Democrat,2,110781.9668,0.15,0.43,0.42,-0.48,0.744849282,0,2.99,1.41,3.052460622
1091,treat,yes,Southern,male,39,divorced,Liberal,1,30530.54719,0.81,0.18,0.01,0.65,0.686804782,0.74,2.77,1.85,2.152038251
1092,treat,yes,North America,female,59,divorced,Liberal,1,41353.1469,0.95,0.02,0.03,-1.56,0.58083899,0.84,-2.95,4.4,0.440349626
1093,treat,no,North America,female,40,married,Conservative,1,31219.18554,0.62,0.22,0.16,0.76,0.808141361,0.31,1.07,2.98,3.045407954
1094,control,yes,Asia,female,54,never,Liberal,2,96000,0.32,0.08,0.6,0.04,1.830359923,0.41,-0.08,2.05,-1.438374423
1095,treat,no,North America,female,22,divorced,Liberal,0,2082.356726,0.41,0.59,0,0.17,0.635801824,0.24,1.47,1.72,1.720347582
1096,treat,yes,North America,female,26,divorced,New_Democrat,3,99771.63,0.95,0.01,0.04,0.36,0.897538877,0.24,-2.8,4.35,2.047724707
1097,control,no,North America,male,44,married,Other,1,73431.38878,0.06,0.62,0.32,1.04,1.15080422,0.96,0.69,4.71,1.634910242
1098,control,yes,North America,female,25,divorced,Conservative,2,122642.6679,0.88,0,0.12,0.13,1.590254149,0.14,-2.1,0.5,0.244538278
1099,treat,no,Asia,male,31,divorced,Liberal,1,29084.7858,0.89,0.06,0.05,0.99,0.67200655,0.31,1.51,2.94,3.196619128
1100,control,yes,North America,female,57,never,Other,2,36000,0.08,0.15,0.77,0.42,0.298237598,0,4.25,0.69,-0.403644889
1101,treat,no,Southern,male,23,married,New_Democrat,1,96724.37355,0.04,0.49,0.47,-0.71,1.085427487,0.05,1.41,1.19,3.877623985
1102,treat,no,North America,male,62,divorced,Other,2,127031.5721,0.86,0,0.14,0.19,2.196019242,0.2,3.45,1.86,3.568619341
1103,control,no,Southern,female,18,divorced,Liberal,1,13067.57194,0.87,0.13,0,-0.12,-0.400994884,0.08,1.72,0.11,-0.331074141
1104,control,no,North America,female,65,married,Other,2,126871.3455,0.06,0.37,0.57,0.19,1.668374167,0.2,-1.59,0.47,0.521306588
1105,treat,yes,Southern,female,48,divorced,Conservative,3,26675.0961,0.59,0.15,0.26,0.05,0.56693626,0.15,-0.82,3.49,1.727653333
1106,treat,yes,Southern,male,38,married,Conservative,0,50829.36622,0.98,0.02,0,-0.69,0.977117658,0.56,5.03,4.66,2.997921205
1107,control,yes,North America,male,43,never,New_Democrat,1,73000,0.14,0.21,0.65,0.33,0.827627308,0.19,-3.62,2.32,0.892970484
1108,control,no,Asia,male,54,divorced,Liberal,1,66423.0538,0.98,0,0.02,0.77,1.352255221,0.87,0.14,2.14,1.546932608
1109,control,yes,North America,female,62,married,Liberal,0,18154.79048,0.58,0.38,0.04,-1.01,1.508931344,0,-0.76,2.62,-0.895853271
1110,control,no,North America,male,34,married,Liberal,2,32502.65217,0.47,0.26,0.27,1.09,0.544563829,0.95,0.77,2.3,0.802700214
1111,control,no,North America,female,44,married,Other,1,126746.8984,0.36,0.04,0.6,0.46,0.429766999,0.02,-2.74,2.22,0.795563746
1112,control,no,North America,male,21,married,Liberal,1,101317.217,0.47,0.01,0.52,0.06,0.600176067,1,3.02,2.61,1.220964942
1113,control,yes,Southern,female,21,divorced,New_Democrat,2,135037.5484,0.12,0.09,0.79,0.02,1.906438249,0.88,-0.31,1.32,0.587570775
1114,control,yes,Southern,male,26,divorced,Liberal,2,50428.26044,0.35,0.62,0.03,-1.83,2.128590727,0.52,0.94,3.31,-0.424844761
1115,treat,yes,Europe,male,64,married,New_Democrat,2,9107.592354,0.66,0.3,0.04,-0.75,0.567189594,1,1.64,1.29,3.190704163
1116,treat,yes,Southern,female,37,married,Conservative,0,114218.7075,0.63,0.11,0.26,-0.58,1.04213898,0.88,-3.83,4.19,2.168304608
1117,control,yes,North America,male,32,married,New_Democrat,0,138114.5099,0.18,0.05,0.77,-0.99,1.471465397,0.01,-0.34,0.81,1.252857626
1118,treat,no,North America,male,58,never,Liberal,4,144000,0.36,0.49,0.15,-0.56,1.525801012,0.35,-0.11,4.48,3.265227391
1119,control,no,Europe,male,59,married,Liberal,3,54464.93328,0.32,0.63,0.05,-0.76,-0.9383888,0.79,-0.27,1.05,1.076940634
1120,treat,yes,North America,female,41,married,Liberal,0,102685.3661,0.29,0.27,0.44,-0.6,0.704395652,0.05,-0.04,0.62,0.930128436
1121,treat,yes,North America,female,57,married,Conservative,3,72916.39744,0.37,0.61,0.02,-0.27,0.915608957,0.11,1.9,0.9,1.905480391
1122,control,yes,North America,male,65,never,New_Democrat,3,10000,0.4,0.21,0.39,-0.19,0.575099325,1,2.24,2.64,1.493773565
1123,control,yes,North America,female,20,never,Conservative,1,42000,0.43,0.37,0.2,-0.25,1.419990456,0.01,-1.14,0.06,-0.261575865
1124,treat,no,Asia,female,61,divorced,Liberal,2,89261.90131,0.53,0.24,0.23,0.98,0.663779497,0.48,0.03,5.69,2.03120033
1125,treat,no,Southern,female,51,divorced,New_Democrat,0,116301.2506,0.51,0.49,0,-1.14,0.907917874,0.84,0.22,2.45,2.972570885
1126,treat,no,North America,female,18,married,Conservative,3,82174.39881,0.63,0.35,0.02,-2.23,1.541640933,0.01,-0.55,2.14,2.91691264
1127,treat,no,Asia,male,32,never,Conservative,2,134000,0.46,0.18,0.36,-0.63,1.137756577,0.12,0.6,0.43,4.165912029
1128,control,no,North America,male,31,married,Liberal,1,33213.03564,0.05,0.08,0.87,-0.1,0.515470974,0.94,4.41,1.95,0.832940605
1129,control,yes,Asia,female,63,divorced,New_Democrat,1,95020.61115,0.51,0.05,0.44,-0.18,2.027918041,0.41,-0.95,5.73,0.012419694
1130,control,yes,Asia,female,49,divorced,Conservative,2,22167.33248,0.59,0.27,0.14,-0.45,1.220064105,0.47,-1.16,4.14,-0.368331099
1131,treat,no,North America,male,35,divorced,Conservative,3,99576.11838,0.79,0.09,0.12,1.13,0.313363569,0.76,1.85,3.52,4.083400464
1132,control,yes,North America,female,61,never,Liberal,0,109000,0.35,0.27,0.38,0.97,1.689331669,0.5,3.47,2.33,-0.932568174
1133,treat,yes,Asia,female,21,divorced,Liberal,2,134129.6621,0.11,0.77,0.12,-0.6,1.738647065,0.69,0.26,2.08,0.901943848
1134,control,yes,Europe,male,60,married,New_Democrat,1,28607.71617,0.99,0,0.01,0.59,0.31844188,0.25,3.81,4.07,1.282540833
1135,control,yes,North America,female,26,divorced,New_Democrat,1,0,0.81,0.06,0.13,0.71,0.626556393,0.89,0.96,2.5,-0.118556543
1136,control,no,North America,female,33,married,New_Democrat,1,18201.47788,0.14,0.22,0.64,-0.39,0.620057291,0.93,-0.46,6.09,1.106151817
1137,treat,yes,Europe,male,57,married,Conservative,0,89071.26882,0.54,0.16,0.3,-0.08,1.332107909,0.37,1.47,1.65,2.600014291
1138,control,yes,Europe,female,33,married,Conservative,3,36957.25016,0.09,0.3,0.61,0.66,-0.054140702,0.21,1.05,0.26,0.106311512
1139,treat,yes,Europe,male,64,divorced,Other,1,120712.5512,0.61,0,0.39,-1.09,0.98225858,0.63,-2.38,4.94,2.077775539
1140,treat,no,Europe,male,60,married,Conservative,1,30918.11564,0.33,0.08,0.59,-0.78,0.241361463,0.09,2.36,6.5,4.117493808
1141,control,yes,Europe,female,41,married,Conservative,1,151692.8343,0.97,0.03,0,0.42,1.750660634,0.05,0.38,3.07,0.365521055
1142,control,yes,Southern,female,40,married,Liberal,2,151364.5741,0.05,0.48,0.47,-0.8,1.64546521,0.75,2,3.45,-0.825674538
1143,control,no,North America,female,52,divorced,New_Democrat,6,44241.14096,0.04,0.34,0.62,0.53,1.055618488,0.1,1.51,4.8,1.35616214
1144,control,no,North America,female,43,divorced,Conservative,0,0,0.66,0.1,0.24,-0.44,0.505946894,0.42,1.33,0.53,1.095875785
1145,control,yes,North America,female,39,married,Liberal,1,136278.4392,0.21,0.56,0.23,1.22,1.523558017,0.51,1.57,0.53,-1.119562351
1146,treat,yes,North America,male,45,widowed,Conservative,2,93905.43569,0.03,0.05,0.92,0.79,1.18664607,0.27,1.92,5.56,3.443459345
1147,control,no,Asia,male,44,never,Liberal,1,22000,0.85,0.05,0.1,-0.58,1.09945751,0.79,0.95,0.87,1.314355476
1148,control,yes,Asia,female,26,married,New_Democrat,2,58839.76897,0.48,0.48,0.04,-0.28,0.537486838,0.98,0.84,1.07,-0.03164533
1149,control,yes,North America,female,22,widowed,Conservative,2,59072.38135,0.93,0.02,0.05,-0.48,1.1187707,0.38,-3.91,0.74,-0.266516152
1150,treat,yes,Asia,female,65,divorced,Conservative,1,83107.58157,0.86,0.11,0.03,1.07,1.660163944,0.11,0.67,2.77,2.180471495
1151,treat,no,North America,female,58,never,Conservative,2,108000,0.56,0.2,0.24,1.64,1.806222186,0.4,-0.57,3.28,3.471512229
1152,control,no,North America,male,38,divorced,Liberal,2,114408.8162,0.19,0.16,0.65,-0.92,2.597916216,0.88,4.06,3.31,1.202166656
1153,treat,no,North America,female,57,divorced,Conservative,1,53343.91052,0.73,0.21,0.06,-2.1,0.620175774,0.97,1.24,6.38,2.629970449
1154,control,yes,Asia,female,38,married,Liberal,1,17440.02075,0.82,0.15,0.03,-0.08,1.502622353,0.27,-2.1,4.03,-1.040501541
1155,control,no,Europe,male,41,never,Conservative,1,111000,0.16,0.21,0.63,1.03,1.838412231,0.29,0.27,0.48,2.586850559
1156,control,yes,Asia,female,47,widowed,Liberal,1,59679.64441,0.95,0.04,0.01,1.06,1.220867114,0.72,0.23,2.52,-0.797793483
1157,control,no,Southern,female,57,married,New_Democrat,2,86151.04752,0.27,0.59,0.14,0.22,0.367505855,0.22,0.58,0.28,0.921927672
1158,treat,no,North America,male,53,widowed,Conservative,3,48676.52456,0.42,0.26,0.32,-2.13,-0.124983179,0.15,-0.18,0.93,4.022936168
1159,control,no,North America,male,37,married,Other,2,63725.23555,0.65,0.2,0.15,-0.78,1.053254903,0.01,1.01,3.01,1.546637448
1160,treat,yes,Asia,female,19,divorced,Liberal,3,42096.97773,0.23,0.35,0.42,-1.19,-0.127386215,0.03,1.14,2.32,0.49417189
1161,treat,yes,Europe,male,34,divorced,Liberal,2,24142.35887,0.04,0.57,0.39,-1.25,0.561909504,0.04,-1.44,0.49,1.636397699
1162,control,yes,North America,male,63,divorced,Liberal,1,43906.46633,0.97,0,0.03,-0.14,0.75509742,0.76,-3.26,1.71,0.25857946
1163,control,yes,Asia,female,35,married,Liberal,1,108565.3191,0.91,0.09,0,-1.25,1.415214319,0.91,-0.01,9.87,-1.260786498
1164,control,yes,Europe,female,43,never,Liberal,3,150000,0.05,0.9,0.05,0.02,1.088851769,0.13,3.89,2.94,-1.249536101
1165,treat,no,North America,male,47,married,Liberal,1,86501.44719,0.88,0.1,0.02,-1.12,-0.110632211,0.67,2.2,1.06,3.166829761
1166,treat,yes,Europe,female,36,married,New_Democrat,2,123203.5615,0.22,0.43,0.35,0.11,1.64129855,0.11,-0.33,0.68,2.068281927
1167,control,no,North America,male,25,married,Liberal,1,135269.8461,0.03,0.97,0,-1.86,1.557759468,0.39,1.67,2.13,0.917161735
1168,control,yes,Asia,male,60,never,New_Democrat,1,113000,0.33,0.58,0.09,1.21,1.186133561,0.99,2.68,3.36,1.41473504
1169,control,no,Asia,female,57,widowed,Conservative,2,151701.1515,0.16,0.18,0.66,-0.25,1.810845001,0.2,-0.1,0.39,1.226164073
1170,control,no,Europe,female,37,never,Conservative,1,90000,0.85,0,0.15,-0.56,0.738878994,0.67,-0.41,1.25,0.975636566
1171,treat,yes,Asia,male,46,married,Liberal,0,106284.6853,0.27,0.03,0.7,2.68,1.441578493,0.67,0.13,0.98,2.807094184
1172,control,no,North America,female,49,divorced,Conservative,2,44001.72231,0.46,0.08,0.46,-1.02,0.229685931,0.03,-3.57,0.83,0.957092471
1173,treat,yes,North America,male,44,divorced,Liberal,0,0,0.16,0.67,0.17,-0.56,0.565131721,0.98,-1.4,5,2.123899718
1174,treat,yes,Europe,male,40,never,Liberal,0,113000,0.17,0.06,0.77,0.66,0.765542238,0.89,4.54,1.2,2.545029811
1175,treat,no,North America,female,56,divorced,Conservative,1,88086.78057,0.83,0.11,0.06,-0.5,0.452906226,0.87,-1.66,6.64,3.079837471
1176,treat,no,North America,male,23,divorced,New_Democrat,2,113283.3814,0.57,0.43,0,-1.34,0.824148216,1,-1.43,1.61,4.194354911
1177,treat,yes,North America,male,55,never,Other,1,138000,0.71,0.29,0,-1.77,0.625945846,0.24,0.87,5.66,2.556085403
1178,control,no,North America,female,35,divorced,Liberal,0,129828.082,0.66,0.02,0.32,0.23,1.154778861,0.11,2.5,0.65,-0.057317369
1179,treat,yes,North America,male,29,married,Conservative,3,71605.06671,0.75,0.13,0.12,-1.51,0.657877566,0.99,-1.72,4.16,2.750655314
1180,treat,no,North America,female,58,never,Liberal,5,126000,0.77,0,0.23,1.72,1.753976236,0.94,0.35,5.97,2.327177639
1181,control,yes,North America,male,63,divorced,Conservative,1,55868.67711,0.33,0.58,0.09,-0.11,0.490834968,0.09,1.01,2.57,0.62387009
1182,treat,yes,North America,male,35,never,New_Democrat,0,71000,0.3,0.6,0.1,0.18,0.971161314,0.43,1.26,2.19,3.435466897
1183,treat,yes,North America,female,51,married,Liberal,5,147357.2086,0.33,0.07,0.6,-0.51,1.236546206,0.19,2.8,2.84,0.681801397
1184,treat,no,Southern,male,38,widowed,Liberal,1,4058.619977,0.05,0.81,0.14,-0.26,1.012515875,0.14,-0.49,0.26,2.998933466
1185,control,no,Asia,female,20,married,Liberal,1,60391.36305,0.34,0.52,0.14,0.31,1.257483008,0.36,0.45,0.53,0.025791384
1186,control,yes,North America,male,47,married,Liberal,3,52775.15224,0.62,0.13,0.25,-0.9,0.537361337,0.26,0.07,0.81,0.024058497
1187,treat,yes,North America,male,49,married,Other,3,133681.1424,0.01,0.66,0.33,-0.48,1.006929991,0.11,2,0.22,2.82128969
1188,treat,yes,North America,female,47,married,Liberal,2,29356.24933,0.68,0.28,0.04,-0.67,0.9741868,0.04,1.87,1.28,0.712781244
1189,treat,no,North America,male,24,married,New_Democrat,1,62348.67908,0.1,0.44,0.46,-0.89,0.791016009,0.06,1.86,1.54,4.082642369
1190,treat,yes,North America,female,49,married,New_Democrat,2,52034.9495,0.32,0.39,0.29,-0.21,1.681518031,0.54,2.59,3.53,2.37333204
1191,control,yes,Europe,male,43,divorced,New_Democrat,0,0,0.72,0.08,0.2,-0.15,1.115778359,0.46,-0.41,5.94,1.526386306
1192,control,no,North America,female,46,never,New_Democrat,2,92000,0.81,0.18,0.01,1.09,1.497864641,0.49,-0.88,0.58,1.15327807
1193,control,no,Southern,female,63,married,Liberal,0,154713.3878,0.32,0.47,0.21,1.26,1.631152142,0.03,2.1,0.98,-0.007231026
1194,control,yes,Asia,female,18,divorced,New_Democrat,1,2091.429486,0.33,0.36,0.31,1.03,0.573778351,0.72,-3.12,1,0.14938386
1195,control,no,Asia,female,29,widowed,Other,3,70879.92127,0.01,0.21,0.78,-0.35,0.804814218,0.04,-1.26,0.92,0.155094587
1196,control,yes,Europe,female,22,married,Liberal,0,74431.11834,0.5,0.38,0.12,0.38,2.051585788,0.44,-1.5,2.7,-1.146249981
1197,treat,no,Asia,male,38,married,New_Democrat,2,111762.4801,0.12,0.15,0.73,2.23,2.217107159,0.43,1.64,1.85,4.538789038
1198,treat,yes,North America,female,48,divorced,New_Democrat,1,128878.6736,0.37,0.52,0.11,-1.15,1.847338948,0.78,0.43,1.38,2.2913047
1199,control,yes,North America,female,29,never,Other,1,18000,0.16,0.16,0.68,1.1,-0.545009932,0.91,1,2.91,-0.555436848
1200,treat,yes,Asia,female,55,married,Liberal,1,65057.79493,0.96,0.03,0.01,1.62,0.147721917,0.35,1.7,3.73,1.070437059
1201,control,no,Asia,male,19,never,New_Democrat,1,145000,0.13,0.29,0.58,0.56,1.055600125,0.73,-2.87,1.53,2.137824345
1202,control,yes,Europe,female,42,widowed,Liberal,1,13491.53316,0.62,0.34,0.04,2.07,0.821339858,0.3,0.35,0.44,-1.063488232
1203,control,yes,North America,female,32,married,New_Democrat,2,37844.20997,0.18,0.45,0.37,1.31,1.30752492,0.99,-1.11,3.54,-0.191928258
1204,control,yes,North America,female,55,divorced,Liberal,0,2962.925907,0.28,0.68,0.04,0.71,0.012796583,0.23,0.55,0.5,-0.730967432
1205,control,yes,Asia,female,43,married,New_Democrat,4,152004.5013,0.71,0.29,0,-0.51,1.235741857,0.15,0.63,1.39,-0.040501064
1206,control,no,North America,female,32,married,Conservative,2,13251.45246,0.99,0,0.01,-1.93,0.428812199,0.07,-4.99,0.9,1.101537476
1207,control,no,Asia,female,54,never,Other,3,86000,0.68,0.06,0.26,-0.61,0.742630267,0.02,0.05,0.17,0.464614725
1208,control,yes,North America,male,52,married,Liberal,1,35539.34291,0.73,0.03,0.24,-1.86,0.517071084,0.3,1.74,1.1,-0.246065984
1209,control,no,North America,male,38,divorced,Liberal,0,27015.37783,0.94,0,0.06,-1.22,0.017160779,0.69,1.1,1.92,0.861463713
1210,control,yes,Asia,female,28,married,Other,2,13922.88919,0.06,0.37,0.57,-1.29,0.942845833,0,-1.19,0.24,-0.752859232
1211,control,no,North America,female,50,never,Conservative,2,129000,0.34,0.39,0.27,1.03,1.546521791,0.44,-1.71,1.87,1.398756786
1212,treat,yes,Asia,male,65,widowed,Conservative,4,63092.16935,0.98,0.01,0.01,-0.63,0.705538265,0.48,-1.49,1.36,3.318495037
1213,control,no,North America,male,53,divorced,Liberal,1,1357.171933,0.28,0.3,0.42,0.83,0.962483332,0.03,0.25,3.05,1.079987493
1214,treat,yes,North America,male,57,divorced,Liberal,4,49587.04901,0.45,0.25,0.3,0.61,0.581955805,0.63,2.79,0.81,2.102664205
1215,treat,no,North America,female,37,married,Other,2,153749.4267,0.7,0.12,0.18,0.83,2.173581056,0.79,3.96,1.02,2.62913909
1216,treat,yes,Southern,male,31,never,Other,2,105000,0.2,0.49,0.31,-0.6,0.630357448,0.13,-0.33,0.21,2.348782302
1217,control,no,North America,female,59,married,Liberal,0,145765.9055,0.61,0.35,0.04,-0.08,1.260599028,0.91,-0.61,1.22,0.26219361
1218,treat,yes,Europe,female,28,married,Liberal,1,41228.82274,0.06,0.89,0.05,-0.65,1.325671065,0.68,5.49,0.74,0.385299844
1219,treat,yes,Asia,female,56,never,New_Democrat,1,101000,0.28,0.47,0.25,1.3,1.159328064,0.73,-3.56,1.25,2.64452645
1220,treat,no,North America,male,27,widowed,Conservative,4,58185.14119,1,0,0,0.42,1.015052447,0.1,-1.29,2.39,3.771453976
1221,control,no,North America,male,39,never,New_Democrat,1,119000,0.6,0.37,0.03,-2.1,0.669880171,0.92,4.93,1.23,2.229442992
1222,treat,yes,North America,female,18,married,Conservative,1,46084.34701,0.71,0.13,0.16,-1.22,1.15519039,0,1.48,3.09,1.57579767
1223,treat,no,Europe,female,25,divorced,Liberal,2,31845.68723,0.2,0.69,0.11,0.26,0.624343916,0.88,1.26,0.92,1.363620512
1224,control,no,Asia,female,32,never,Conservative,1,53000,0.96,0.03,0.01,-0.96,1.039402438,0.88,1.65,7.77,0.721574375
1225,control,no,North America,female,26,married,New_Democrat,2,88387.46036,0.51,0.41,0.08,0.97,1.662615847,0.37,1.93,0.69,1.291168532
1226,control,no,Asia,male,62,divorced,New_Democrat,1,106036.0212,0.41,0.52,0.07,0.32,1.148989834,0.81,-0.34,2.94,2.257514652
